project_id,project_name,state,district,constituency,category,sanctioned_amount,released_amount,expenditure,financial_utilisation,physical_progress,start_date,expected_completion,actual_completion,planned_duration,elapsed_months,status,location,schedule_score,financial_progress_score,peer_outlier_score
MPLADS-DEMO-H1,Construction of Road — Illustrative High Risk,Rajasthan,Ajmer,Ajmer,Roads & Paths,2500000,2200000.0,1800000,72.0,35.0,2023-01-01,2024-01-31,,12.0,20.0,Ongoing,,,,
MPLADS-DEMO-H2,Community Hall Construction — Extended Delay,Uttar Pradesh,Lucknow,Lucknow Central,Community Infrastructure,3500000,3000000.0,2700000,77.1,38.0,2022-06-01,2023-05-31,,12.0,27.0,Ongoing,,,,
MPLADS-DEMO-H3,Drain Construction — Financial Anomaly,Maharashtra,Pune,Pune City,Sanitation & Drainage,4000000,3800000.0,3600000,90.0,42.0,2022-03-01,2023-08-31,,18.0,30.0,Ongoing,,,,
MPLADS-DEMO-H4,School Building — Long Stall,Karnataka,Bengaluru Urban,Bengaluru Central,Education,2800000,2500000.0,2000000,71.4,30.0,2021-09-01,2023-08-31,,24.0,36.0,Ongoing,,,,
MPLADS-DEMO-H5,Bridge Repair — Overdue High Spend,West Bengal,Hooghly,Hooghly-Chinsurah,Infrastructure,6000000,5800000.0,5600000,93.3,50.0,2021-06-01,2023-05-31,,24.0,39.0,Ongoing,,,,
MPLADS-RJ-001,Construction of Community Hall at Ajmer,Rajasthan,Ajmer,Ajmer,Community Infrastructure,2500000,2200000.0,1980000,79.2,60.0,2023-04-01,2024-03-31,,12.0,18.0,Ongoing,,,,
MPLADS-RJ-002,Laying of CC Road in Pushkar,Rajasthan,Ajmer,Ajmer,Roads & Paths,1800000,1800000.0,1750000,97.2,95.0,2023-06-01,2024-05-31,2024-06-15,12.0,12.0,Completed,,,,
MPLADS-UP-001,Construction of Drainage Canal in Lucknow,Uttar Pradesh,Lucknow,Lucknow Central,Sanitation & Drainage,3500000,3000000.0,2100000,60.0,35.0,2022-09-01,2024-08-31,,24.0,24.0,Ongoing,,,,
MPLADS-UP-002,Renovation of Government School Building,Uttar Pradesh,Varanasi,Varanasi North,Education,2000000,2000000.0,1960000,98.0,98.0,2023-03-01,2024-02-28,2024-03-10,12.0,12.0,Completed,,,,
MPLADS-UP-003,Construction of Bore Wells in Rural Areas,Uttar Pradesh,Rae Bareli,Rae Bareli,Drinking Water,1500000,1200000.0,900000,60.0,45.0,2023-01-01,2024-06-30,,18.0,20.0,Ongoing,,,,
MPLADS-MH-001,Installation of Solar Street Lights,Maharashtra,Pune,Pune City,Electricity,2200000,2200000.0,2150000,97.7,96.0,2023-07-01,2024-06-30,2024-07-05,12.0,12.0,Completed,,,,
MPLADS-MH-002,Construction of Sports Complex,Maharashtra,Mumbai Suburban,Mumbai North,Sports & Recreation,5000000,4000000.0,3600000,72.0,40.0,2022-06-01,2024-05-31,,24.0,27.0,Ongoing,,,,
MPLADS-MH-003,Improvement of Rural Road NH Extension,Maharashtra,Nashik,Nashik,Roads & Paths,3200000,3200000.0,3180000,99.4,99.0,2023-01-01,2023-12-31,2024-01-15,12.0,12.0,Completed,,,,
MPLADS-KA-001,Construction of Primary Health Centre,Karnataka,Bengaluru Urban,Bengaluru Central,Health,4000000,3500000.0,2800000,70.0,42.0,2022-03-01,2024-02-28,,24.0,30.0,Ongoing,,,,
MPLADS-KA-002,Electrification of Village Panchayat,Karnataka,Tumkur,Tumkur,Electricity,1200000,1200000.0,1170000,97.5,97.0,2023-09-01,2024-08-31,2024-09-02,12.0,12.0,Completed,,,,
MPLADS-TN-001,Renovation of Anganwadi Centre,Tamil Nadu,Chennai,Chennai Central,Education,800000,800000.0,780000,97.5,96.0,2024-01-01,2024-12-31,2024-12-20,12.0,9.0,Completed,,,,
MPLADS-TN-002,Flood Drainage Construction,Tamil Nadu,Cuddalore,Chidambaram,Sanitation & Drainage,2800000,2500000.0,2100000,75.0,50.0,2023-02-01,2025-01-31,,24.0,19.0,Ongoing,,,,
MPLADS-WB-001,Construction of Bridge over Canal,West Bengal,Hooghly,Hooghly-Chinsurah,Infrastructure,6000000,5000000.0,4800000,80.0,55.0,2021-10-01,2023-09-30,,24.0,35.0,Ongoing,,,,
MPLADS-WB-002,Repair of Government Hospital,West Bengal,Kolkata,Kolkata North,Health,1500000,1500000.0,1480000,98.7,99.0,2023-08-01,2024-07-31,2024-07-25,12.0,12.0,Completed,,,,
MPLADS-GJ-001,Construction of Boundary Wall for School,Gujarat,Ahmedabad,Ahmedabad East,Education,700000,700000.0,685000,97.9,98.0,2024-02-01,2025-01-31,,12.0,7.0,Ongoing,,,,
